productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
624675,Destined Rivals Pokemon Center Elite Trainer Box (Exclusive),Destined Rivals Pokemon Center Elite Trainer Box Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/624675_200w.jpg,3,24269,https://cpt.tcgcsv.com/wT_6,2025-05-30T04:10:27.47,1,"Pokémon Trainers, be on high alert!
<br>The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion!

<br><br>

The Pokémon TCG: Scarlet & Violet—Destined Rivals Pokémon Center Elite Trainer Box includes:<br>
•11 Pokémon TCG: Scarlet & Violet—Destined Rivals booster packs<br>
       •Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player’s guide to the Scarlet & Violet—Destined Rivals expansion
6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",449.99,788.89,3799.0,435.56,,Normal,,,,,,,,,,,
624676,Destined Rivals Elite Trainer Box,Destined Rivals Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/624676_200w.jpg,3,24269,https://cpt.tcgcsv.com/xT_6,2025-05-30T04:10:27.47,1,"Whose Side Are You On?<br>
Pokémon Trainers, be on high alert! The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion! <br>

The Pokémon TCG: Scarlet & Violet—Destined Rivals Elite Trainer Box includes:<br>
• 9 Pokémon TCG: Scarlet & Violet—Destined Rivals booster packs<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player’s guide to the Scarlet & Violet—Destined Rivals expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A collector’s box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",199.99,241.0,777.0,202.1,,Normal,0820650859526,,,,,,,,,,
624678,Destined Rivals Booster Box Case,Destined Rivals Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/624678_200w.jpg,3,24269,https://cpt.tcgcsv.com/BT_6,2025-05-30T04:10:27.47,1,"Each booster box case contains 6 boxes of 36 packs each.
<br>
<br>Each Destined Rivals Booster Pack contains 10 random cards.",3324.0,3750.0,20000.0,3377.69,,Normal,820650827204,,,,,,,,,,
624679,Destined Rivals Booster Box,Destined Rivals Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/624679_200w.jpg,3,24269,https://cpt.tcgcsv.com/CT_6,2025-05-30T04:10:27.47,1,Each Scarlet & Violet— Destined Rivals booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>,529.98,617.0,2000.0,516.03,,Normal,,,,,,,,,,,
624681,Destined Rivals Half Booster Box,Destined Rivals Half Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/624681_200w.jpg,3,24269,https://cpt.tcgcsv.com/FT_6,2025-05-30T04:10:27.47,1,"Whose Side Are You On?<br>
Pokémon Trainers, be on high alert! The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion!

<br><br>Each Scarlet & Violet— Destined Rivals half booster box contains 18 booster packs. <em>(Each pack contains 10 random cards)</em>",275.0,275.0,275.0,253.58,,Normal,,,,,,,,,,,
624683,Destined Rivals Booster Pack,Destined Rivals Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/624683_200w.jpg,3,24269,https://cpt.tcgcsv.com/HT_6,2025-05-30T04:10:27.47,1,"Whose Side Are You On?<br>
Pokémon Trainers, be on high alert! The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion!
<br><br>
Each pack contains 10 cards.",4.99,9.0,16.95,8.6,,Normal,,,,,,,,,,,
624684,Destined Rivals Sleeved Booster Pack,Destined Rivals Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/624684_200w.jpg,3,24269,https://cpt.tcgcsv.com/JT_6,2025-05-30T04:10:27.47,1,"Whose Side Are You On?<br>
Pokémon Trainers, be on high alert! The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion!<br><br>

Each Destined Rivals sleeved booster pack contains 10 random cards.",7.71,9.88,89.99,9.25,,Normal,0196214111233,,,,,,,,,,
625670,Destined Rivals Booster Bundle,Destined Rivals Booster Bundle,https://tcgplayer-cdn.tcgplayer.com/product/625670_200w.jpg,3,24269,https://cpt.tcgcsv.com/qh07,2025-05-30T04:10:27.47,1,"Whose Side Are You On?<br>
Pokémon Trainers, be on high alert! The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion!<br><br>

Expand your collection with this Booster Bundle containing <strong>six booster packs from Pokémon TCG: Scarlet & Violet—Destined Rivals!</strong>",50.0,61.92,250.0,58.27,,Normal,0196214111387,,,,,,,,,,
625677,Destined Rivals Build & Battle Box,Destined Rivals Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/625677_200w.jpg,3,24269,https://cpt.tcgcsv.com/zh07,2025-06-13T04:12:26.303,1,"Whose Side Are You On?<br>
Pokémon Trainers, be on high alert! The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion!


<br><br>Contents:<br>
• A 40-card ready-to-play deck, including 1 of 4 unique foil promo cards<br>
• 4 Pokémon TCG: Scarlet & Violet—Destined Rivals booster packs<br>
• A code card for Pokémon TCG Live",43.0,51.5,68.99,45.22,,Normal,0196214111561,,,,,,,,,,
625683,Destined Rivals 3 Pack Blister [Kangaskhan],Destined Rivals 3 Pack Blister Kangaskhan,https://tcgplayer-cdn.tcgplayer.com/product/625683_200w.jpg,3,24269,https://cpt.tcgcsv.com/Hh07,2025-05-30T04:10:27.47,1,"Whose Side Are You On?<br>
Pokémon Trainers, be on high alert! The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion!
<br><br>
Each blister comes with 3 Destined Rivals booster packs and a promotional card of Kangaskhan.",35.99,40.99,49.99,39.48,,Normal,0196214111332,,,,,,,,,,
625684,Destined Rivals 3 Pack Blister [Zebstrika],Destined Rivals 3 Pack Blister Zebstrika,https://tcgplayer-cdn.tcgplayer.com/product/625684_200w.jpg,3,24269,https://cpt.tcgcsv.com/Jh07,2025-05-30T04:10:27.47,1,"Whose Side Are You On?<br>
Pokémon Trainers, be on high alert! The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion!
<br><br>
Each blister comes with 3 Destined Rivals booster packs and a promotional card of Zebstrika.",38.99,39.98,47.82,37.21,,Normal,0196214111332,,,,,,,,,,
625687,Destined Rivals Premium Checklane Blister [Skeledirge],Destined Rivals Premium Checklane Blister Skeledirge,https://tcgplayer-cdn.tcgplayer.com/product/625687_200w.jpg,3,24269,https://cpt.tcgcsv.com/Mh07,2025-05-30T04:10:27.47,1,"Whose Side Are You On?<br>
Pokémon Trainers, be on high alert! The nefarious Team Rocket is setting its latest plan into motion, and heroic Trainers are racing to stop it. Join forces with the likes of Cynthia and Garchomp ex, Ethan and Ho-Oh ex, or Arven and Mabosstiff ex… Or reconsider your loyalties and fight alongside Team Rocket’s Pokémon like Mewtwo ex—under the command of Giovanni! Choose a side, assemble your allies, and battle boldly in the Pokémon TCG: Scarlet & Violet—Destined Rivals expansion!<br><br>
Product details: <br>
• 1 Destined Rivals booster pack<br>
• TCGO Code<br>
• Coin<br>
• 3 cards!",34.99,35.49,35.99,29.95,,Normal,820650853319,,,,,,,,,,
